ISO,Year,HDI_UNDP,IHDI,PHDI,GII,GDI,VDem_Score
AFG,2010,0.465,0.297,0.46,0.704,0.695,
AFG,2011,0.474,0.303,0.468,0.716,0.685,
AFG,2012,0.484,0.313,0.478,0.731,0.653,
AFG,2013,0.492,0.32,0.486,0.708,0.681,
AFG,2014,0.497,0.323,0.492,0.687,0.673,
AFG,2015,0.496,0.322,0.491,0.683,0.695,
AFG,2016,0.495,0.323,0.49,0.682,0.696,
AFG,2017,0.496,0.322,0.492,0.679,0.709,
AFG,2018,0.498,0.325,0.493,0.677,0.715,
AFG,2019,0.507,0.331,0.501,0.676,0.716,
AFG,2020,0.501,0.328,0.496,0.674,0.715,
AFG,2021,0.486,0.319,0.482,0.642,0.737,
AFG,2022,0.495,0.319,0.491,0.665,0.656,
AFG,2023,0.496,0.321,0.492,0.661,0.66,
ALB,2010,0.769,0.665,0.716,0.192,0.956,
ALB,2011,0.781,0.676,0.727,0.194,0.959,
ALB,2012,0.79,0.686,0.742,0.197,0.963,
ALB,2013,0.793,0.69,0.746,0.194,0.963,
ALB,2014,0.797,0.677,0.744,0.19,0.957,
ALB,2015,0.797,0.685,0.747,0.179,0.968,
ALB,2016,0.797,0.681,0.742,0.162,0.967,
ALB,2017,0.798,0.684,0.748,0.145,0.964,
ALB,2018,0.801,0.689,0.752,0.138,0.964,
ALB,2019,0.805,0.696,0.757,0.131,0.964,
ALB,2020,0.794,0.691,0.741,0.125,0.978,
ALB,2021,0.794,0.69,0.744,0.109,0.977,
ALB,2022,0.806,0.701,0.754,0.107,0.974,
ALB,2023,0.81,0.705,0.755,0.107,0.963,
DZA,2010,0.718,,0.666,0.508,0.85,
DZA,2011,0.718,,0.665,0.496,0.856,
DZA,2012,0.723,0.562,0.669,0.407,0.865,
DZA,2013,0.727,0.566,0.673,0.403,0.868,
DZA,2014,0.732,0.571,0.676,0.399,0.865,
DZA,2015,0.737,0.575,0.677,0.397,0.873,
DZA,2016,0.743,0.58,0.683,0.392,0.879,
DZA,2017,0.746,0.583,0.687,0.397,0.882,
DZA,2018,0.749,0.587,0.688,0.383,0.882,
DZA,2019,0.753,0.59,0.693,0.385,0.884,
DZA,2020,0.742,0.583,0.687,0.383,0.887,
DZA,2021,0.755,0.594,0.699,0.442,0.887,
DZA,2022,0.761,0.599,0.703,0.443,0.888,
DZA,2023,0.763,0.601,0.706,0.443,0.887,
AND,2010,0.87,,,,,
AND,2011,0.875,,,,,
AND,2012,0.876,,,,,
AND,2013,0.862,,,,,
AND,2014,0.866,,,,,
AND,2015,0.869,,,,,
AND,2016,0.872,0.787,,,,
AND,2017,0.873,0.788,,,,
AND,2018,0.875,0.789,,,,
AND,2019,0.876,0.791,,,,
AND,2020,0.851,0.764,,,,
AND,2021,0.871,0.786,,,,
AND,2022,0.893,0.819,,,,
AND,2023,0.913,0.837,,,,
AGO,2010,0.528,,0.506,0.556,0.87,
AGO,2011,0.545,,0.52,0.549,0.833,
AGO,2012,0.557,,0.532,0.55,0.847,
AGO,2013,0.567,,0.541,0.551,0.86,
AGO,2014,0.577,,0.552,0.553,0.871,
AGO,2015,0.603,0.372,0.576,0.549,0.877,
AGO,2016,0.609,0.378,0.585,0.544,0.894,
AGO,2017,0.61,0.38,0.591,0.547,0.898,
AGO,2018,0.611,0.382,0.592,0.539,0.901,
AGO,2019,0.611,0.354,0.597,0.536,0.89,
AGO,2020,0.61,0.354,0.596,0.533,0.906,
AGO,2021,0.609,0.355,0.597,0.532,0.898,
AGO,2022,0.615,0.359,0.602,0.524,0.905,
AGO,2023,0.616,0.36,0.604,0.515,0.906,
ATG,2010,0.828,,,,,
ATG,2011,0.828,,,,,
ATG,2012,0.833,,,,,
ATG,2013,0.835,,,,,
ATG,2014,0.837,,,,,
ATG,2015,0.839,,,,,
ATG,2016,0.842,,,,,
ATG,2017,0.845,,,,,
ATG,2018,0.85,,,,1.038,
ATG,2019,0.851,,,,1.029,
ATG,2020,0.84,,,,1.027,
ATG,2021,0.843,,,0.225,1.028,
ATG,2022,0.848,,,0.224,1.03,
ATG,2023,0.851,,,0.24,1.031,
ARG,2010,0.844,0.723,0.756,0.37,1.0,
ARG,2011,0.852,0.732,0.755,0.364,0.996,
ARG,2012,0.85,0.739,0.756,0.353,0.995,
ARG,2013,0.852,0.741,0.752,0.352,0.993,
ARG,2014,0.855,0.744,0.757,0.347,0.994,
ARG,2015,0.859,0.748,0.757,0.338,0.996,
ARG,2016,0.857,0.747,0.758,0.333,0.991,
ARG,2017,0.861,0.752,0.752,0.321,0.989,
ARG,2018,0.861,0.75,0.763,0.301,0.993,
ARG,2019,0.861,0.75,0.764,0.283,0.991,
ARG,2020,0.851,0.742,0.758,0.285,0.994,
ARG,2021,0.847,0.743,0.751,0.272,0.987,
ARG,2022,0.858,0.754,0.756,0.262,0.986,
ARG,2023,0.865,0.761,0.763,0.264,0.988,
ARM,2010,0.747,0.668,0.71,0.352,0.972,
ARM,2011,0.752,0.675,0.714,0.351,0.977,
ARM,2012,0.761,0.683,0.721,0.326,0.977,
ARM,2013,0.766,0.687,0.726,0.314,0.975,
ARM,2014,0.772,0.691,0.731,0.309,0.979,
ARM,2015,0.777,0.696,0.736,0.301,0.979,
ARM,2016,0.783,0.702,0.744,0.296,0.978,
ARM,2017,0.785,0.704,0.744,0.254,0.98,
ARM,2018,0.789,0.706,0.746,0.242,0.997,
ARM,2019,0.796,0.723,0.75,0.216,0.982,
ARM,2020,0.761,0.693,0.713,0.207,1.032,
ARM,2021,0.786,0.718,0.74,0.185,0.987,
ARM,2022,0.801,0.733,0.753,0.18,1.006,
ARM,2023,0.811,0.743,0.761,0.18,1.006,
AUS,2010,0.929,0.838,0.624,0.137,0.964,
AUS,2011,0.933,0.841,0.632,0.132,0.966,
AUS,2012,0.938,0.847,0.641,0.131,0.962,
AUS,2013,0.935,0.844,0.653,0.122,0.962,
AUS,2014,0.937,0.85,0.657,0.116,0.961,
AUS,2015,0.938,0.851,0.667,0.109,0.964,
AUS,2016,0.939,0.856,0.669,0.101,0.966,
AUS,2017,0.94,0.857,0.659,0.094,0.967,
AUS,2018,0.945,0.86,0.668,0.091,0.971,
AUS,2019,0.947,0.861,0.671,0.079,0.971,
AUS,2020,0.95,0.864,0.689,0.072,0.972,
AUS,2021,0.954,0.867,0.692,0.065,0.972,
AUS,2022,0.952,0.867,0.694,0.056,0.98,
AUS,2023,0.958,0.873,0.7,0.056,0.977,
AUT,2010,0.912,0.835,0.729,0.105,0.975,
AUT,2011,0.915,0.845,0.731,0.097,0.975,
AUT,2012,0.916,0.846,0.738,0.094,0.975,
AUT,2013,0.915,0.843,0.741,0.083,0.97,
AUT,2014,0.919,0.851,0.75,0.081,0.97,
AUT,2015,0.919,0.851,0.756,0.083,0.969,
AUT,2016,0.921,0.852,0.753,0.081,0.973,
AUT,2017,0.922,0.852,0.756,0.071,0.971,
AUT,2018,0.925,0.86,0.757,0.06,0.972,
AUT,2019,0.928,0.859,0.763,0.052,0.975,
AUT,2020,0.925,0.859,0.766,0.048,0.978,
AUT,2021,0.93,0.864,0.755,0.042,0.983,
AUT,2022,0.927,0.858,0.758,0.038,0.982,
AUT,2023,0.93,0.861,0.757,0.033,0.985,
AZE,2010,0.744,0.653,0.701,0.333,0.947,
AZE,2011,0.746,0.657,0.702,0.332,0.944,
AZE,2012,0.751,0.664,0.702,0.339,0.937,
AZE,2013,0.757,0.672,0.701,0.342,0.941,
AZE,2014,0.766,0.681,0.712,0.346,0.951,
AZE,2015,0.771,0.712,0.719,0.341,0.952,
AZE,2016,0.772,0.715,0.725,0.328,0.944,
AZE,2017,0.774,0.719,0.726,0.323,0.95,
AZE,2018,0.775,0.717,0.73,0.32,0.953,
AZE,2019,0.78,0.722,0.726,0.314,0.957,
AZE,2020,0.757,0.701,0.705,0.332,0.971,
AZE,2021,0.765,0.711,0.715,0.315,0.964,
AZE,2022,0.784,0.729,0.732,0.317,0.965,
AZE,2023,0.789,0.735,0.737,0.315,0.983,
BHS,2010,0.801,,0.701,0.371,1.007,
BHS,2011,0.802,,0.691,0.387,1.009,
BHS,2012,0.805,,0.708,0.394,1.009,
BHS,2013,0.805,0.648,0.715,0.374,1.006,
BHS,2014,0.807,0.649,0.715,0.384,1.009,
BHS,2015,0.807,0.648,0.725,0.366,1.007,
BHS,2016,0.808,0.651,0.709,0.357,1.008,
BHS,2017,0.81,0.653,0.703,0.333,1.008,
BHS,2018,0.812,0.655,0.683,0.331,1.007,
BHS,2019,0.8,0.637,0.686,0.335,0.996,
BHS,2020,0.797,0.648,0.713,0.326,1.009,
BHS,2021,0.794,0.645,0.692,0.329,1.007,
BHS,2022,0.818,0.664,0.712,0.327,1.011,
BHS,2023,0.82,0.67,0.712,0.325,1.015,
BHR,2010,0.81,,0.556,0.253,0.947,
BHR,2011,0.817,,0.561,0.241,0.943,
BHR,2012,0.833,,0.552,0.238,0.949,
BHR,2013,0.846,,0.534,0.236,0.946,
BHR,2014,0.847,,0.546,0.233,0.943,
BHR,2015,0.868,,0.567,0.244,0.931,
BHR,2016,0.871,,0.602,0.237,0.933,
BHR,2017,0.874,,0.617,0.235,0.931,
BHR,2018,0.886,,0.613,0.204,0.929,
BHR,2019,0.894,,0.614,0.191,0.962,
BHR,2020,0.885,,0.612,0.189,0.971,
BHR,2021,0.885,,0.626,0.191,0.942,
BHR,2022,0.902,,0.639,0.177,0.957,
BHR,2023,0.899,,0.632,0.165,0.957,
BGD,2010,0.561,0.385,0.552,0.603,0.858,
BGD,2011,0.572,0.395,0.562,0.597,0.864,
BGD,2012,0.583,0.402,0.571,0.583,0.868,
BGD,2013,0.589,0.407,0.576,0.578,0.889,
BGD,2014,0.6,0.421,0.59,0.569,0.881,
BGD,2015,0.621,0.437,0.609,0.563,0.883,
BGD,2016,0.632,0.435,0.617,0.557,0.892,
BGD,2017,0.633,0.441,0.617,0.541,0.904,
BGD,2018,0.646,0.45,0.629,0.532,0.902,
BGD,2019,0.656,0.455,0.638,0.52,0.909,
BGD,2020,0.663,0.461,0.645,0.5,0.916,
BGD,2021,0.663,0.461,0.645,0.494,0.922,
BGD,2022,0.68,0.479,0.661,0.487,0.919,
BGD,2023,0.685,0.482,0.666,0.487,0.918,
BRB,2010,0.797,,,0.356,1.014,
BRB,2011,0.794,,,0.353,1.016,
BRB,2012,0.797,0.605,,0.352,1.016,
BRB,2013,0.798,0.606,,0.342,1.019,
BRB,2014,0.799,0.607,,0.337,1.023,
BRB,2015,0.8,0.608,,0.341,1.025,
BRB,2016,0.803,0.611,,0.34,1.038,
BRB,2017,0.804,0.612,,0.34,1.027,
BRB,2018,0.806,0.614,,0.322,1.029,
